Kursk,51.7167,36.1833
Udaipur,24.58,73.68
Barcelona,10.1333,-64.6833
Constantine,36.365,6.6147
Bandung,-6.912,107.6097
Zurich,47.3744,8.5411
Ulan-Ude,51.8272,107.6064
Beira,-19.8333,34.85
Kupang,-10.1702,123.6077
Jeju,33.5097,126.5219
Manizales,5.1,-75.55
Yogyakarta,-7.8014,110.3644
Veracruz,19.1903,-96.1533
Zanjan,36.6789,48.5056
Sokoto,13.0622,5.2339
Porto Velho,-8.7619,-63.9039
Trabzon,41.005,39.7225
Akola,20.7,77
Buenaventura,3.8772,-77.0267
Daloa,6.8833,-6.45
Boa Vista,2.8194,-60.6714
Luhansk,48.5667,39.3333
Mataram,-8.5833,116.1167
Jayapura,-2.533,140.717
Rio Branco,-9.9747,-67.81
Sanandaj,35.3144,46.9922
Bhagalpur,25.25,87
Ivanovo,57,41
Kisumu,-0.0833,34.7667
Augusta,33.3645,-82.0708
Maracay,10.2469,-67.5958
Szczecin,53.4325,14.5481
Sandakan,5.8388,118.1173
Surgut,61.25,73.4333
Thies,14.7833,-16.9167
Belgorod,50.6,36.6
Nha Trang,12.245,109.1917
Yola,9.23,12.46
Pasto,1.2078,-77.2772
Bologna,44.4939,11.3428
Plovdiv,42.15,24.75
Christchurch,-43.531,172.6365
Brno,49.1925,16.6083
London,42.9836,-81.2497
Novi Sad,45.2542,19.8425
Kaunas,54.8972,23.8861
Taunggyi,20.7836,97.0354
Iquitos,-3.75,-73.25
Mamou,10.3833,-12.0833
Ambon,-3.7,128.1667
Newcastle,-27.7464,29.9328
Bengkulu,-3.7956,102.2592
Palu,-0.895,119.8594
Pokhara,28.2083,83.9889
Vitoria,-20.2889,-40.3083
Vladimir,56.1286,40.4058
Karnal,29.686,76.989
Villahermosa,17.9892,-92.9281
San Fernando,15.0333,120.6833
Malmo,55.6058,13.0358
Van,38.4942,43.38
Neiva,2.9345,-75.2809
Varna,43.2167,27.9167
Gorgan,36.8386,54.4347
Holguin,20.8869,-76.2592
Palmira,3.5833,-76.25
Chita,52.0333,113.5
Nice,43.7034,7.2663
Simferopol,44.9484,34.1
Brest,52.1347,23.6569
Kaluga,54.5333,36.2667
Lublin,51.25,22.5667
Cuernavaca,18.9186,-99.2342
Reading,51.4542,-0.9731
Belfast,54.5964,-5.93
Salamanca,20.5703,-101.1972
Cuenca,-2.8974,-79.0045
Tampere,61.4981,23.76
Kendari,-3.9907,122.5086
Smolensk,54.7828,32.0453
Nakuru,-0.3,36.0667
Debrecen,47.53,21.6392
Kochi,33.5589,133.5314
Cluj-Napoca,46.7667,23.5833
Bari,41.1253,16.8667
Pucallpa,-8.3833,-74.55
Kuching,1.5575,110.3439
Mekele,13.4969,39.4769
Naha,26.2122,127.6792
Nantes,47.2181,-1.5528
Osh,40.5333,72.7833
Cordoba,37.8845,-4.7796
Camaguey,21.3839,-77.9075
Maroua,10.5971,14.3157
Saransk,54.1833,45.1833
Nukus,42.4667,59.6
Puerto Plata,19.8,-70.6833
Ca Mau,9.1833,105.15
Vologda,59.2167,39.9
Orel,52.9686,36.0694
Santa Ana,33.7367,-117.8819
Port Elizabeth,-33.9581,25.6
Catania,37.5,15.0903
Gwangju,37.3667,127.2833
Kurgan,55.4408,65.3411
Vladikavkaz,43.04,44.6775
Juliaca,-15.4833,-70.1333
Parbhani,19.27,76.78
Puerto Princesa,9.75,118.75
Santarem,-2.43,-54.72
Armenia,4.53,-75.68
Popayan,2.4542,-76.6092
Newcastle,54.98,-1.61
Tampico,22.2553,-97.8686
Bialystok,53.1353,23.1456
Merida,8.48,-71.19
Murmansk,68.9706,33.075
Valladolid,41.6528,-4.7236
Reading,40.34,-75.9267
Valparaiso,-33.0461,-71.6197
Vigo,42.2314,-8.7124
Strasbourg,48.5833,7.7458
Tambov,52.7167,41.4333
Iasi,47.1622,27.5889
Kherson,46.6425,32.625
Setif,36.19,5.41
Ipswich,52.0594,1.1556
Sincelejo,9.295,-75.3961
Ostrava,49.8356,18.2925
Tacna,-18.0147,-70.2489
Constanta,44.1667,28.6333
Coro,11.395,-69.6816
Petrozavodsk,61.7833,34.35
Santa Ana,13.995,-89.5561
Maastricht,50.85,5.6833
Kostroma,57.7681,40.9269
Mamuju,-2.6833,118.9
Dire Dawa,9.6,41.8667
Palmas,-10.1844,-48.3336
Craiova,44.3333,23.8167
Plymouth,50.3714,-4.1422
Gijon,43.5333,-5.7
Salem,44.9233,-123.0244
Imphal,24.8074,93.9384
Bergen,60.3894,5.33
Djelfa,34.6667,3.25
Bordeaux,44.84,-0.58
Nawabshah,26.2442,68.41
Annaba,36.9,7.7667
Wollongong,-34.4331,150.8831
Tuzla,40.8161,29.3006
Derby,52.9217,-1.4767
Verona,45.4386,10.9928
St. Petersburg,27.7931,-82.6652
Antsirabe,-19.8667,47.0333
Puducherry,11.9167,79.8167
Arua,3.0353,30.9108
Vitoria-Gasteiz,42.85,-2.6833
Tacloban,11.2444,125.0039
Turku,60.45,22.2667
A Coruna,43.3667,-8.3833
Yanbu,24.0883,38.0582
Palangkaraya,-2.21,113.92
Kiel,54.3233,10.1394
Sibu,2.3,111.8167
Syktyvkar,61.6667,50.8167
Gyor,47.6842,17.6344
Biratnagar,26.4542,87.2797
Mahajanga,-15.7167,46.3167
Tanga,-5.0667,39.1
Bahir Dar,11.6,37.3833
Myitkyina,25.3833,97.4
Sakaka,29.9697,40.2
Lille,50.6278,3.0583
Chimoio,-19.1167,33.45
Halle,51.4828,11.9697
Szeged,46.255,20.145
Kosice,48.7167,21.25
Banda Aceh,5.55,95.3175
Scottsdale,33.6872,-111.8651
Nyiregyhaza,47.9531,21.7271
Pathein,16.7778,94.7369
Magdeburg,52.1317,11.6392
Abha,18.2169,42.5053
Groningen,53.2167,6.5667
Bole,44.8539,82.0514
Miri,4.3925,113.9861
Granada,37.1781,-3.6008
Barishal,22.7,90.3667
Santa Ana,14.58,121.012
Puerto Vallarta,20.6458,-105.2222
Toluca,19.2925,-99.6569
Toamasina,-18.15,49.4167
Mutare,-18.9667,32.6333
Cork,51.8972,-8.47
Hobart,-42.8806,147.325
Polokwane,-23.9,29.45
Portland,43.6773,-70.2715
Cordoba,18.8942,-96.9347
Pleiku,13.9833,108
Bitung,1.4472,125.1978
San Miguel,13.4814,-88.1775
Oviedo,43.36,-5.845
Zamora,19.9833,-102.2833
Alor Setar,6.1183,100.3694
Cartagena,37.6,-0.9819
Zielona Gora,51.9333,15.5
Valencia,7.9042,125.0928
Norwich,52.6286,1.2928
Gangneung,37.75,128.9
Golmud,36.4072,94.9283
Geneva,46.2017,6.1469
Shimla,31.1033,77.1722
Erfurt,50.9833,11.0333
Sikasso,11.3167,-5.6667
Colombo,-25.2919,-49.2239
Jerez de la Frontera,36.6817,-6.1378
Tumaco,1.8067,-78.7647
Pskov,57.8167,28.3333
Barrancabermeja,7.0667,-73.85
Rostock,54.0833,12.1333
Sunyani,7.3333,-2.3333
Toledo,10.3833,123.65
Monywa,22.1083,95.1417
Parakou,9.35,2.6167
Biskra,34.85,5.7333
Zanzibar,-6.165,39.199
Ziguinchor,12.5833,-16.2667
Ternate,0.78,127.3819
Charleroi,50.4,4.4333
Aberdeen,57.15,-2.11
Birjand,32.8667,59.2167
Torun,53.0222,18.6111
Kassel,51.3158,9.4979
Luxor,25.6833,32.65
Lang Son,21.8478,106.7578
Tarakan,3.3,117.6333
Ha Tinh,18.3333,105.9
Cajamarca,-7.1667,-78.5167
Norwich,41.5495,-72.0882
Almeria,36.8403,-2.4681
Kasama,-10.2117,31.1783
Liege,50.6397,5.5706
Banja Luka,44.7725,17.1925
Alcala de Henares,40.4818,-3.3643
Kankan,10.3833,-9.3
N'Zerekore,7.75,-8.8167
Rzeszow,50.0333,22
Eldoret,0.5167,35.2833
Mbarara,-0.6133,30.6583
La Serena,-29.9,-71.25
Trondheim,63.4297,10.3933
Gorontalo,0.5333,123.0667
Quelimane,-17.8764,36.8872
San Fernando,7.894,-67.473
Rijeka,45.3272,14.4411
Jalapa,14.6379,-89.9904
Guanare,9.0436,-69.7489
Florencia,1.6139,-75.6128
Fianarantsoa,-21.4536,47.0858
Manzanillo,19.0522,-104.3158
Ngaoundere,7.3167,13.5833
Braga,41.5503,-8.42
Kecskemet,46.9061,19.6897
Iquique,-20.2167,-70.15
Semnan,35.5728,53.3972
Geelong,-38.15,144.35
Siguiri,11.4189,-9.1644
Nis,43.3192,21.8961
Abakan,53.7167,91.4667
Sittwe,20.167,92.785
Kindia,10.0497,-12.8542
Edirne,41.6769,26.5556
Split,43.51,16.44
Mongu,-15.2775,23.1319
Townsville,-19.25,146.8167
Salalah,17.0197,54.0897
Hamilton,-37.7833,175.2833
Kandi,11.1286,2.9369
Meiktila,20.8833,95.8833
Santander,43.4628,-3.805
Saint-Louis,16.0333,-16.5
Burgos,42.3408,-3.6997
Olsztyn,53.7778,20.4792
Ratnapura,6.6806,80.4022
Leon,12.4344,-86.8775
Silchar,24.82,92.8
Tlemcen,34.8828,-1.3167
Gadag,15.4167,75.6167
Albacete,38.9956,-1.8558
San Miguel,15.1458,120.9783
Kaolack,14.1389,-16.0764
Cape Coast,5.1,-1.25
Surigao,9.7897,125.4958
Concepcion,15.3249,120.6554
Puerto Montt,-41.4667,-72.9333
Toliara,-23.35,43.6667
Calabozo,8.9219,-67.4283
Riohacha,11.5442,-72.9069
Katha,24.1822,96.3306
Manchester,42.9848,-71.4447
Tuguegarao,17.6133,121.7303
Tabora,-5.0167,32.8
Ipiales,0.8303,-77.6444
Perugia,43.1122,12.3889
Klaipeda,55.75,21.1667
Bechar,31.6333,-2.2
Kandy,7.2964,80.635
Cienfuegos,22.1456,-80.4364
Ipswich,-27.6167,152.7667
Tunja,5.5333,-73.3667
Guadalajara,40.6337,-3.1674
Kidapawan,7.0083,125.0894
San Miguel,-34.5333,-58.7167
Arad,46.175,21.3125
Herne,51.55,7.2167
Cadiz,10.95,123.3
Alexandria,38.8185,-77.0861
Port Arthur,29.8554,-93.9264
Ghorahi,28.0333,82.4833
Cagliari,39.2278,9.1111
Gulu,2.7817,32.2992
Regensburg,49.0167,12.0833
San Juan,14.6,121.03
Dibrugarh,27.48,95
Tete,-16.1667,33.6
San Jose,12.3528,121.0676
Newcastle,-32.9167,151.75
Nevsehir,38.6264,34.7139
Siem Reap,13.3622,103.8597
Logrono,42.465,-2.4456
Bohicon,7.2,2.0667
Tauranga,-37.6833,176.1667
Marbella,36.5167,-4.8833
Tororo,0.6928,34.1811
Mzuzu,-11.4581,34.0151
San Jose,15.7919,120.99
Miskolc,48.0833,20.6667
Manzanillo,20.3397,-77.1086
Kragujevac,44.0142,20.9394
Badajoz,38.8803,-6.9753
Panama City,30.1995,-85.6003
Santiago,16.6833,121.55
Szombathely,47.2351,16.6219
Pemba,-12.9667,40.55
Sibiu,45.7928,24.1519
Salamanca,40.965,-5.6642
Malakal,9.55,31.65
Cairns,-16.92,145.78
Calapan,13.414,121.18
Shillong,25.5744,91.8789
David,8.4333,-82.4333
Coimbra,40.2111,-8.4292
Yopal,5.35,-72.41
